date,原油,LPG,沥青,燃油,PP,PE,PTA,甲醇,PX,EG,EB,纯苯
2023-07-27,4421.0,3963.0,3787.0,3365.0,7337.0,8170.0,5912.0,2256.0,,4164.0,8054.0,
2023-07-28,4452.0,4138.0,3806.0,3403.0,7459.0,8232.0,6098.0,2298.0,,4208.0,8212.0,
2023-07-31,4477.0,4107.0,3756.0,3445.0,7448.0,8222.0,6016.0,2288.0,,4156.0,8327.0,
2023-08-01,4541.0,4175.0,3796.0,3547.0,7461.0,8208.0,6026.0,2363.0,,4150.0,8326.0,
2023-08-02,4581.0,4113.0,3754.0,3640.0,7463.0,8255.0,5966.0,2347.0,,4113.0,8399.0,
2023-08-03,4438.0,3941.0,3714.0,3563.0,7362.0,8138.0,5804.0,2322.0,,4004.0,8236.0,
2023-08-04,4560.0,3975.0,3759.0,3625.0,7416.0,8206.0,5832.0,2345.0,,4026.0,8343.0,
2023-08-07,4608.0,4051.0,3716.0,3657.0,7392.0,8164.0,5786.0,2319.0,,4011.0,8300.0,
2023-08-08,4555.0,4053.0,3684.0,3476.0,7346.0,8115.0,5802.0,2324.0,,4032.0,8301.0,
2023-08-09,4627.0,4078.0,3687.0,3523.0,7410.0,8183.0,5832.0,2356.0,,4050.0,8354.0,
2023-08-10,4693.0,4289.0,3654.0,3587.0,7400.0,8177.0,5832.0,2357.0,,4020.0,8494.0,
2023-08-11,4707.0,4319.0,3642.0,3564.0,7423.0,8166.0,5900.0,2376.0,,4030.0,8442.0,
2023-08-14,4814.0,4378.0,3643.0,3536.0,7376.0,8096.0,5814.0,2415.0,,3957.0,8280.0,
2023-08-15,4859.0,4468.0,3695.0,3589.0,7418.0,8116.0,5778.0,2427.0,,3968.0,8305.0,
2023-08-16,4795.0,4464.0,3694.0,3513.0,7375.0,8044.0,5728.0,2356.0,,3954.0,8317.0,
2023-08-17,4797.0,4451.0,3786.0,3573.0,7450.0,8137.0,5724.0,2388.0,,3941.0,8386.0,
2023-08-18,4682.0,4531.0,3800.0,3591.0,7574.0,8302.0,5846.0,2449.0,,3974.0,8492.0,
2023-08-21,4786.0,4471.0,3797.0,3735.0,7630.0,8352.0,5986.0,2509.0,,4017.0,8553.0,
2023-08-22,4692.0,4546.0,3797.0,3692.0,7660.0,8384.0,6006.0,2512.0,,4124.0,8460.0,
2023-08-23,4641.0,4532.0,3788.0,3648.0,7645.0,8376.0,5982.0,2520.0,,4177.0,8543.0,
2023-08-24,4567.0,4442.0,3715.0,3528.0,7620.0,8357.0,5980.0,2518.0,,4148.0,8467.0,
2023-08-25,4633.0,5130.0,3729.0,3552.0,7653.0,8399.0,6064.0,2531.0,,4177.0,8392.0,
2023-08-28,4670.0,5287.0,3725.0,3497.0,7626.0,8288.0,6008.0,2512.0,,4102.0,8349.0,
2023-08-29,4646.0,5215.0,3715.0,3526.0,7617.0,8233.0,5962.0,2512.0,,4096.0,8372.0,
2023-08-30,4724.0,5308.0,3756.0,3648.0,7736.0,8336.0,6140.0,2596.0,,4151.0,8534.0,
